LocationID,TankID,Customer,Location,Address,City,State,Zip Code,Tank,Product,Inventory Time (UTC),Inventory,Level,Tank Capacity,Tank Height,MIN,RTUID,Temp_F,Region,Critical High Alarm,High Alarm,Low Alarm,Critical Low Alarm,User Location Id,User Product Id,Battery Level,RSSI,Do Not Fill,UserTankId,Volume UOM,Level UOM,Specific Gravity,Latitude,Longitude,Type
2098101,10021659,ChemTreat Inc,Newmont Twin Creeks,35 miles NE of Golconda,Golconda,NV,,Newmont Twin Creeks Juniper Strip,ML 1360,6/9/2017 11:40,2393.2854,64.6187,4000,108,7639005638,710430040,57.03687,NV/AK,4000,4000,1280,1000,,-1,98,3,N,-1,gal,in,1.11,0,0,None
2082263,10069330,ChemTreat Inc,Marigold Mining Company ,**,Valmy,NV,,Marigold Kiln Scrubber,ML 5101,6/9/2017 10:15,293.05274,38.43591,450,62,3125205626,710430072,70.65992,NV/AK,450,450,135,90,,-1,91,9,N,-1,gal,in,1.134,40.7922061,-117.1281453,Location
2098101,10070848,ChemTreat Inc,Newmont Twin Creeks,35 miles NE of Golconda,Golconda,NV,,Newmont Twin Creeks Sage Mill Water,ML4428,6/9/2017 10:23,1945.98969,84.06675,2500,108,7639005576,710430048,84.50269,NV/AK,2500,2500,875,700,,ML4428,89,3,N,Newmont Sage Mill Water,gal,in,1.15,41.28646579,-117.1559045,Map
2063771,10072526,ChemTreat Inc,Round Mountain Gold,xxxx,Round Mountain,NV,,Round Mt. ADR - Strip Tank,ML6128,6/9/2017 10:21,573.80233,46.06211,1090,87.5,3.50701E+11,707338103,64.06812,NV/AK,1090,1090,272,218,,-1,98,9,N,-1,gal,in,1.085,38.69998904,-117.1045276,Map
2032426,10072527,ChemTreat Inc,Barrick Goldstrike,28 Miles Northwest of Elko,Elko ,NV,,Barrick A/C Cooling Tower,CL 3855,6/9/2017 11:51,226.60187,45.32037,300,60,7639000755,710430030,68.24292,NV/AK,300,300,75,57,,-1,60,3,N,-1,gal,in,1.188,41.4952162,-114.1824499,Location
2069122,10072529,ChemTreat Inc,Hi Crush Blair,11203 South River Road,Taylor,WI,54659,Wet Plant Cationic Polymer,Chemtreat P824L,6/9/2017 8:09,5037.01693,155.42795,7000,216,8.82351E+14,742332483,68.24292,,7000,7000,1050,700,,-1,82,10,N,-1,gal,in,1.044,44.2982042,-91.1738352,Location
2015827,10076643,ChemTreat Inc,Barrick-Golden Sunlight Mine,Whitehall,Whitehall,MT,,Tank 7639005351,ML2515,11/4/2015 21:07,0,0,250,36,7639005351,710430039,59.89332,,250,250,80,25,,-1,23,3,N,-1,gal,in,1.172,45.873216,-112.1003414,Location
2063771,10077050,ChemTreat Inc,Round Mountain Gold,xxxx,Round Mountain,NV,,Round Mt. Gold Hills ADR Preg # 1 ,ML2535,6/9/2017 8:10,454.42683,36.48682,685,55,7639005591,710430044,68,NV/AK,685,685,171,102,,-1,74,3,N,-1,gal,in,1.172,38.7110428,-117.0675843,Location
2063771,10078310,ChemTreat Inc,Round Mountain Gold,xxxx,Round Mountain,NV,,Round Mt. Gold Hills ADR Preg # 2 ,ML2535,6/9/2017 8:37,257.08748,20.64206,685,55,7639005344,710430047,69.34156,NV/AK,685,685,171,68,,-1,74,3,N,-1,gal,in,1.172,38.7110428,-117.0675843,Location
2096569,10078313,ChemTreat Inc,ChemTreat Stock,x Stock,x,NV,,Was Jerritt Canyon CiL Tank,ML 5101,5/22/2017 10:15,0,0,1550,125,7639000772,710430029,80.76734,NV/AK,1550,1550,387,155,,-1,90,3,N,-1,gal,in,1.134,38.8026097,-116.419389,Location
2030648,10078479,ChemTreat Inc,Ft. Knox Mine,xxxxxxx,Fort Knox,Alaska,,Ft. Knox Heap Leach,ML2515,4/12/2017 8:17,4822.34926,97.04603,8050,162,7639005571,710430050,67.14429,NV/AK,8050,8050,2415,2012,,-1,65,3,N,-1,gal,in,1.172,0,0,None
2012189,10078701,ChemTreat Inc,ChemTreat Inc Stock,35 miles NE of Golconda Stock,Golconda,NV,89414,Tank 7639005629,Water,12/27/2012 16:38,0,0,100000,277.2962,7639005629,710430052,65.16675,,100000,100000,32000,10000,,-1,99,3,N,-1,gal,in,1,41.0357702,-117.1264753,Location
2098099,10092243,ChemTreat Inc,Newmont Mill 5,6 miles North of Carlin,Carlin,NV,,Newmont CH Zadra ML8000,ML 8000,6/9/2017 10:55,1328.19687,48.47918,2000,73,7639000756,710430032,67.14429,NV/AK,2000,2000,640,200,,ML8000,92,3,N,-1,gal,in,1.177,0,0,None
2063771,10092830,ChemTreat Inc,Round Mountain Gold,xxxx,Round Mountain,NV,,Round Mt. Gold Hills ADR - Strip Tank,ML6128,6/9/2017 10:16,522.23032,41.92215,1090,87.5,3125206439,710430074,61.21167,NV/AK,1090,1090,272,109,,-1,98,10,N,-1,gal,in,1.085,38.7110428,-117.0675843,Location
2030648,10092831,ChemTreat Inc,Ft. Knox Mine,xxxxxxx,Fort Knox,Alaska,,Ft. Knox Strip Circuit,ML 5101,6/9/2017 10:35,354.82112,35.79823,1500,125,3125209299,710430077,59.67359,NV/AK,1500,1500,480,150,,-1,22,10,N,-1,gal,in,1.134,0,0,None
2098099,10092832,ChemTreat Inc,Newmont Mill 5,6 miles North of Carlin,Carlin,NV,,Newmont CH AARL ML8000,ML 8000,6/9/2017 9:09,509.90385,36.71307,2000,144,7639005637,710430042,71.53882,NV/AK,2000,2000,640,200,,-1,98,3,N,-1,gal,in,1.177,0,0,None
2061389,10136048,ChemTreat Inc,Newgold CSP,San Luis Potosi,San Luis Potosi,San Luis Potosi,,Tank 882350805442339,ML4448,6/9/2017 6:40,3167.739902,67.57843536,15000,320,8.82351E+14,710332139,68,,15000,15000,4800,1500,,-1,49,10,N,-1,L,cm,1.14,22.1564699,-100.9855409,Location
2067304,10137055,ChemTreat Inc,El Castillo Planta Oeste,Carr. San Juan-Coneto de Comonfort KM. 12,San Juan Del Rio,Durango,34480,Tank 882350805182761,ML4448,6/9/2017 13:20,1116.508688,21.08041656,15000,283.2100076,8.82351E+14,710332198,68,,15000,15000,4800,1500,,-1,66,10,N,-1,L,cm,1.14,24.7825839,-104.4575171,Location
2066624,10137067,ChemTreat Inc,Minera Frisco El Porvenir,Carrertera Tepezala-Asientos S/N,Asientos,Aguascalientes,20710,Tank 882350805182585,ML4448,6/9/2017 8:56,417.9820192,5.12976886,22000,270,8.82351E+14,710332197,68,,22000,22000,7040,2200,,-1,65,5,N,-1,L,cm,1.14,21.8852562,-102.2915677,Location
2069092,10138730,ChemTreat Inc,Hi Crush Wyeville,8850 Highway 173,Tomah ,WI,54660,Wet Plant Cationic Polymer,Chemtreat P824L,6/9/2017 2:48,3184.79134,98.27356,7000,216,8.82351E+14,742340099,53.74097,,7000,7000,2240,700,,-1,41,4,N,-1,gal,in,1.044,44.052721,-90.4126339,Location
2071606,10150793,ChemTreat Inc,Fuerza y Energia Naco Nogales,Carr. Agua Prieta-Nacozari KM 14  Col. Azteca,Agua Prieta,Sonora,83500,Host 882350806744862,CL-4800,6/9/2017 7:10,426.7673468,40.11612903,1000,94,8.82351E+14,907028662,82.30542,,1000,1000,320,100,,-1,52,8,N,-1,L,cm,1.14,32.4288404,-114.8166881,Location
2071606,10150855,ChemTreat Inc,Fuerza y Energia Naco Nogales,Carr. Agua Prieta-Nacozari KM 14  Col. Azteca,Agua Prieta,Sonora,83500,Host 882350806744844,CL3857,6/9/2017 9:53,195.6298596,18.38920498,1000,94,8.82351E+14,907028663,82.52515,,1000,1000,320,100,,-1,60,8,N,-1,L,cm,1.18,32.4288404,-114.8166881,Location
2078373,10150863,ChemTreat Inc,Yamana Gold Proyecto Mercedes,Carretera Magdalena Sinoquipe KM 67,Cucurpe,Sonora,84660,Host 882350806744731,ML1610,6/9/2017 6:37,7.390998221,0.721971044,993,97,8.82351E+14,907028675,84.72242,,993,993,317,99,,-1,57,10,N,-1,L,cm,1.081,0,0,None
2080995,10163602,ChemTreat Inc,Mina La Colorada,Carretera Hermosillo  La Colorada KM47,Domicilio Conocido La Colorada,SO,,Mina La Colorada,ML1610,6/9/2017 7:51,172.795624,16.87932436,993,97,8.82351E+14,907029467,88.6775,,993,993,317,99,,-1,73,10,N,-1,L,cm,1.081,23.634501,-102.552784,Location
2079588,10165225,ChemTreat Inc,Agnico Eagle Pinos Altos,Carr Chihuahua-Hermosillo KM 290 ,Ocampo,Chihuahua,,Planta Dirty,ML4448,6/9/2017 7:27,350.6290268,29.45283211,1000,84,8.82351E+14,907029498,68,,1000,1000,320,100,,-1,67,10,N,-1,L,cm,1.13,28.6423531,-106.0568139,Location
2092634,10166199,ChemTreat Inc,Met-Mex Penoles,Blvd. Laguna 3200,Torreon ,Coahuila,,Espesador Lix. Neutra,P880L,6/9/2017 7:46,0,0,10,10,8.82351E+14,907029536,84.28296,,10,10,3,1,,-1,96,6,N,-1,gal,in,1.044,0,0,None
2093400,10166204,ChemTreat Inc,MF El Coronel,*,Ojocaliente,Zacatecas,,Carbon Strip Circuit,ML5108,6/9/2017 8:17,0,0,1000,98,8.82351E+14,907029541,72.41773,,1000,1000,320,100,,-1,89,10,N,-1,L,cm,1.26,22.5706028,-102.2546666,Location
2095830,10169318,ChemTreat Inc,Preferred Sands,N33005 Helmers Rd,Blair,WI,54616,Wet Plant Cationic Polymer,Chemtreat P824L,6/8/2017 15:11,2034.34828,51.43994,7000,177,8.82351E+14,910030108,58.1355,,7000,7000,2240,700,,-1,99,4,N,-1,gal,in,1.044,44.3205518,-91.2607236,Location
2098098,10169441,ChemTreat Inc,Barrick Cortez,8 Miles South of Crescent Vally,Crescent Vally,NV,,Cortez Strip Circuit,ML 5101,6/9/2017 9:25,921.10826,71.23237,1500,116,8.82351E+14,910030154,72.85718,NV/AK,1500,1500,480,300,,-1,88,7,N,-1,gal,in,1.134,0,0,None
